Production code,Title,Air date,Season,Number in season,Number in series,US viewers (million),Views,IMDB rating
4F22,The City of New York vs. Homer Simpson,1997-09-21,9.0,1,179,10.5,62962.0,9.1
5F07,Miracle on Evergreen Terrace,1997-12-21,9.0,10,188,9.6,19899.0,7.6
5F16,King of the Hill,1998-03-05,9.0,23,201,9.2,60952.0,8.3
5F11,Das Bus,1998-02-15,9.0,14,192,9.6,32487.0,8.1
5F20,Lard of the Dance,1998-08-23,10.0,1,204,7.0,56018.0,7.6
5F08,Bart Carny,1998-11-01,9.0,12,190,11.7,22426.0,7.7
4F24,Lisa the Simpson,1998-08-03,9.0,17,195,10.4,21608.0,8.0
3F16,The Day the Violence Died,1996-03-17,7.0,18,146,14.4,57809.0,8.0
5F19,When You Dish Upon a Star,1998-08-11,10.0,5,208,9.0,43485.0,7.3
AABF03,"Lisa Gets an ""A""",1998-11-22,10.0,7,210,8.0,50013.0,8.0
AABF04,"Homer Simpson in: ""Kidney Trouble""",1998-06-12,10.0,8,211,7.2,50300.0,7.3
CABF01,Lisa the Tree Hugger,2000-11-19,12.0,4,252,14.9,39480.0,7.2
AABF08,"Sunday, Cruddy Sunday",1999-01-31,10.0,12,215,11.5,50051.0,6.9
AABF13,Maximum Homerdrive,1999-03-28,10.0,17,220,15.5,54195.0,7.6
BABF02,"Hello Gutter, Hello Fadder",1999-11-14,11.0,6,232,9.2,44615.0,7.3
AABF14,Simpsons Bible Stories,1999-04-04,10.0,18,221,12.2,47155.0,7.3
CABF07,Tennis the Menace,2001-11-02,12.0,12,260,14.0,51004.0,6.9
AABF06,Viva Ned Flanders,1999-10-01,10.0,10,213,11.5,56561.0,7.8
BABF01,Treehouse of Horror X,1999-10-31,11.0,4,230,8.7,47980.0,7.7
BABF15,Last Tap Dance in Springfield,2000-07-05,11.0,20,246,7.3,47061.0,7.2
AABF22,,1999-03-10,11.0,2,228,7.1,44172.0,7.5
AABF16,"The Old Man and the ""C"" Student",1999-04-25,10.0,20,223,6.9,47550.0,7.3
BABF13,Bart to the Future,2000-03-19,11.0,17,243,8.77,75315.0,7.0
AABF23,Beyond Blunderdome,1999-09-26,11.0,1,227,8.1,34394.0,7.3
AABF18,They Saved Lisa's Brain,1999-09-05,10.0,22,225,6.8,47951.0,7.3
AABF09,Homer to the Max,1999-07-02,10.0,13,216,8.3,55726.0,7.7
BABF05,"Take My Wife, Sleaze",1999-11-28,11.0,8,234,8.9,41484.0,7.1
BABF04,Little Big Mom,2000-09-01,11.0,10,236,10.0,48194.0,7.3
BABF06,Faith Off,2000-01-16,11.0,11,237,10.4,43869.0,6.9
CABF08,Worst Episode Ever,2001-04-02,12.0,11,259,18.5,49893.0,7.5
,Saddlesore Galactica,2000-06-02,11.0,13,239,9.6,41259.0,6.6
BABF19,Behind the Laughter,2000-05-21,11.0,22,248,8.3,74046.0,7.9
CABF03,The Great Money Caper,2000-10-12,12.0,7,255,16.8,49325.0,7.3
BABF10,Missionary: Impossible,2000-02-20,11.0,15,241,9.8,50427.0,7.3
BABF14,Days of Wine and D'oh'ses,2000-09-04,11.0,18,244,8.3,48786.0,7.4
3F17,Bart on the Road,1996-03-31,7.0,20,148,11.8,70913.0,8.6
CABF11,,2001-11-03,12.0,16,264,16.1,45718.0,6.5
CABF15,I'm Goin' to Praiseland,2001-06-05,12.0,19,267,13.1,49321.0,7.3
CABF17,Simpsons Tall Tales,2001-05-20,12.0,21,269,13.4,56698.0,7.0
DABF13,I Am Furious (Yellow),2002-04-28,13.0,18,287,12.4,69650.0,7.7
DABF14,The Sweetest Apu,2002-05-05,13.0,19,288,11.8,47193.0,6.9
EABF20,The President Wore Pearls,2003-11-16,15.0,3,316,12.7,37456.0,7.0
CABF22,The Parent Rap,2001-11-11,13.0,2,271,14.9,47251.0,7.1
DABF11,Weekend at Burnsie's,2002-07-04,13.0,16,285,12.5,54539.0,7.7
DABF18,Large Marge,2002-11-24,14.0,4,295,17.4,55369.0,7.1
DABF06,The Bart Wants What It Wants,2002-02-17,13.0,11,280,11.2,45176.0,7.1
EABF09,Mr. Spritz Goes to Washington,2003-09-03,14.0,14,305,14.4,44837.0,6.9
CABF18,A Hunka Hunka Burns in Love,2001-02-12,13.0,4,273,13.4,37376.0,7.2
DABF22,How I Spent My Strummer Vacation,2002-10-11,14.0,2,293,12.5,35578.0,7.3
DABF02,She of Little Faith,2001-12-16,13.0,6,275,13.2,45824.0,7.1
DABF21,Helter Shelter,2002-01-12,14.0,5,296,15.1,42907.0,6.8
DABF08,Tales from the Public Domain,2002-03-17,13.0,14,283,11.7,50301.0,7.3
EABF04,The Strong Arms of the Ma,2003-02-02,14.0,9,300,15.4,51877.0,6.9
DABF01,Brawl in the Family,2002-06-01,13.0,7,276,11.8,45684.0,6.9
DABF05,Jaws Wired Shut,2002-01-27,13.0,9,278,14.2,49429.0,7.3
DABF15,Little Girl in the Big Ten,2002-12-05,13.0,20,289,11.2,46466.0,7.2
EABF14,Old Yeller-Belly,2003-04-05,14.0,19,310,11.59,43223.0,6.8
EABF02,Special Edna,2003-05-01,14.0,7,298,15.0,40867.0,7.1
EABF05,Barting Over,2003-02-16,14.0,11,302,21.3,47276.0,6.6
EABF13,"Dude, Where's My Ranch?",2003-04-27,14.0,18,309,11.71,49000.0,7.0
EABF16,The Bart of War,2003-05-18,14.0,21,312,12.1,50464.0,6.6
EABF21,Treehouse of Horror XIV,2003-02-11,15.0,1,314,16.22,68381.0,7.4
4F10,Mountain of Madness,1997-02-02,8.0,12,165,9.1,60763.0,8.6
FABF01,Today I Am a Clown,2003-07-12,15.0,6,319,10.5,37890.0,6.6
FABF03,"Marge vs. Singles, Seniors, Childless Couples and Teens and Gays",2004-04-01,15.0,8,321,12.0,50276.0,6.7
FABF05,Diatribe of a Mad Housewife,2004-01-25,15.0,10,323,10.6,45062.0,7.3
FABF20,All's Fair in Oven War,2004-11-14,16.0,2,337,11.64,41064.0,7.0
FABF17,Bart-Mangled Banner,2004-05-16,15.0,21,334,8.7,56275.0,6.2
GABF13,A Star Is Torn,2005-08-05,16.0,18,353,8.72,44500.0,6.8
,See Homer Run,2005-11-20,17.0,6,362,10.3,40306.0,6.9
FABF07,Milhouse Doesn't Live Here Anymore,2004-02-15,15.0,12,325,9.4,46792.0,7.3
FABF08,The Ziff Who Came to Dinner,2004-03-14,15.0,14,327,10.7,43747.0,6.9
GABF02,Homer and Ned's Hail Mary Pass,2005-06-02,16.0,8,343,23.07,43356.0,6.4
GABF16,The Girl Who Slept Too Little,2005-09-18,17.0,2,358,9.79,35717.0,6.9
FABF11,The Wandering Juvie,2004-03-28,15.0,16,329,10.5,44539.0,6.9
GABF19,Milhouse of Sand and Fog,2005-09-25,17.0,3,359,10.19,35779.0,7.0
GABF17,Treehouse of Horror XVI,2005-06-11,17.0,4,360,11.63,74401.0,7.3
HABF03,Homer's Paternity Coot,2006-08-01,17.0,10,366,10.1,39552.0,6.7
FABF22,She Used to Be My Girl,2004-05-12,16.0,4,339,10.81,38908.0,6.6
FABF12,My Big Fat Geek Wedding,2004-04-18,15.0,17,330,9.2,42440.0,6.7
GABF12,,2005-04-17,16.0,15,350,8.31,53146.0,7.3
HABF02,The Italian Bob,2005-11-12,17.0,8,364,10.39,45513.0,7.0
FABF15,Simple Simpson,2004-02-05,15.0,19,332,9.5,46273.0,7.3
HABF04,We're on the Road to D'ohwhere,2006-01-29,17.0,11,367,9.04,43599.0,7.0
GABF05,On a Clear Day I Can't See My Sister,2005-06-03,16.0,11,346,10.39,46309.0,6.9
GABF15,Home Away from Homer,2005-05-15,16.0,20,355,8.17,44606.0,7.1
FABF23,Treehouse of Horror XV,2004-07-11,16.0,1,336,11.29,72271.0,7.4
FABF16,Midnight Rx,2005-01-16,16.0,6,341,8.11,43118.0,7.3
GABF03,Pranksta Rap,2005-02-13,16.0,9,344,8.01,42759.0,6.8
5F12,Dumbbell Indemnity,1998-01-03,9.0,16,194,10.3,21214.0,7.6
HABF12,Girls Just Want to Have Sums,2006-04-30,17.0,19,375,8.7,45267.0,7.2
HABF14,The Monkey Suit,2006-05-14,17.0,21,377,8.3,48419.0,7.1
JABF11,The Boys of Bummer,2007-04-29,18.0,18,396,7.57,44770.0,6.3
JABF16,Treehouse of Horror XVIII,2007-04-11,19.0,5,405,11.7,69957.0,7.1
JABF08,Rome-Old and Juli-Eh,2007-11-03,18.0,15,393,8.98,41751.0,6.3
KABF09,Papa Don't Leech,2008-04-13,19.0,16,416,6.9,39238.0,6.1
,Marge and Homer Turn a Couple Play,2006-05-21,17.0,22,378,8.23,42778.0,6.6
JABF03,The Wife Aquatic,2007-07-01,18.0,10,388,13.9,41312.0,6.6
KABF14,"Double, Double, Boy in Trouble",2008-10-19,20.0,3,423,8.09,45781.0,7.0
HABF17,Treehouse of Horror XVII,2006-05-11,18.0,4,382,10.43,68799.0,7.1
KABF04,That '90s Show,2008-01-27,19.0,11,411,7.6,43485.0,6.3
KABF21,The Burns and the Bees,2008-07-12,20.0,8,428,6.19,38247.0,6.6
HABF19,Moe'N'a Lisa,2006-11-19,18.0,6,384,9.31,37177.0,6.8
JABF02,The Haw-Hawed Couple,2006-10-12,18.0,8,386,8.29,41161.0,7.2
JABF17,Husbands and Knives,2007-11-18,19.0,7,407,10.5,44445.0,7.1
KABF13,All About Lisa,2008-05-18,19.0,20,420,6.11,44616.0,6.4
JABF15,You Kent Always Say What You Want,2007-05-20,18.0,22,400,9.8,45281.0,7.3
KABF18,Dangerous Curves,2008-09-11,20.0,5,425,8.16,40078.0,6.6
JABF07,Springfield Up,2007-02-18,18.0,13,391,8.8,45036.0,7.3
JABF05,Revenge Is a Dish Best Served Three Times,2007-01-28,18.0,11,389,8.09,67621.0,7.0
JABF10,,2007-04-22,18.0,17,395,6.4,47107.0,7.3
JABF12,Stop! Or My Dog Will Shoot,2007-05-13,18.0,20,398,6.48,42892.0,7.0
KABF07,Dial 'N' for Nerder,2008-09-03,19.0,14,414,7.3,41658.0,7.3
KABF05,"Love, Springfieldian Style",2008-02-17,19.0,12,412,7.81,40507.0,6.6
KABF20,MyPods and Boomsticks,2008-11-30,20.0,7,427,7.8,40353.0,7.1
KABF17,"Sex, Pies and Idiot Scrapes",2008-09-28,20.0,1,421,9.3,45735.0,7.2
KABF11,Any Given Sundance,2008-04-05,19.0,18,418,6.18,41440.0,7.0
5F22,Bart the Mother,1998-09-27,10.0,3,206,7.35,43240.0,7.5
LABF01,"Take My Life, Please",2009-02-15,20.0,10,430,6.82,40679.0,7.0
LABF03,"No Loan Again, Naturally",2009-08-03,20.0,12,432,5.99,41165.0,7.0
MABF21,,2010-09-26,22.0,1,465,7.75,31638.0,6.3
LABF10,"Waverly Hills, 9-0-2-1-D'oh",2009-03-05,20.0,19,439,6.75,45032.0,7.1
MABF11,The Bob Next Door,2010-05-16,21.0,22,463,6.26,43446.0,7.2
LABF07,"The Good, the Sad and the Drugly",2009-04-19,20.0,17,437,6.5,45179.0,7.2
LABF20,Once Upon a Time in Springfield,2010-10-01,21.0,10,451,14.62,40194.0,6.7
LABF15,Bart Gets a 'Z',2009-04-10,21.0,2,443,9.32,38196.0,6.6
LABF06,Eeny Teeny Maya Moe,2009-05-04,20.0,16,436,6.5,40864.0,7.2
MABF09,Chief of Hearts,2010-04-18,21.0,18,459,5.93,41528.0,6.9
LABF16,The Great Wife Hope,2009-11-10,21.0,3,444,7.5,39134.0,6.3
MABF12,To Surveil with Love,2010-02-05,21.0,20,461,6.06,45738.0,7.2
NABF08,The Scorpion's Tale,2011-06-03,22.0,15,479,6.2,42142.0,6.7
,The Blue and the Gray,2011-02-13,22.0,13,477,5.61,42028.0,6.9
MABF06,The Color Yellow,2010-02-21,21.0,13,454,6.08,41059.0,6.6
NABF01,The Fool Monty,2010-11-21,22.0,6,470,6.58,38097.0,6.5
MABF01,"O Brother, Where Bart Thou?",2009-12-13,21.0,8,449,7.11,38097.0,7.2
MABF05,Boy Meets Curl,2010-02-14,21.0,12,453,5.87,44945.0,6.8
NABF10,Love Is a Many Strangled Thing,2011-03-27,22.0,17,481,6.14,41202.0,6.5
LABF17,The Devil Wears Nada,2009-11-15,21.0,5,446,9.04,42893.0,6.7
NABF13,Homer Scissorhands,2011-08-05,22.0,20,484,5.48,46154.0,7.2
MABF07,Stealing First Base,2010-03-21,21.0,15,456,5.69,40487.0,7.0
NABF02,How Munched is That Birdie in the Window?,2010-11-28,22.0,7,471,9.38,37568.0,6.4
NABF12,The Real Housewives of Fat Tony,2011-01-05,22.0,19,483,6.1,41638.0,6.6
NABF03,Moms I'd Like to Forget,2011-09-01,22.0,10,474,12.6,41253.0,6.3
MABF18,MoneyBart,2010-10-10,22.0,3,467,6.72,39073.0,6.8
NABF04,Flaming Moe,2011-01-16,22.0,11,475,6.47,42734.0,6.9
AABF11,I'm with Cupid,1999-02-14,10.0,14,217,7.7,46822.0,7.3
NABF17,Bart Stops to Smell the Roosevelts,2011-02-10,23.0,2,488,6.19,37642.0,7.0
NABF21,Replaceable You,2011-06-11,23.0,4,490,7.97,38034.0,6.7
PABF04,The D'oh-cial Network,2012-01-15,23.0,11,497,11.48,43275.0,7.0
SABF03,Married to the Blob,2014-12-01,25.0,10,540,4.83,40646.0,7.1
PABF15,Ned 'n Edna's Blend,2012-05-13,23.0,21,507,4.07,47005.0,6.7
PABF16,Gone Abie Gone,2012-11-11,24.0,4,512,6.86,35136.0,6.7
RABF02,Homer Goes to Prep School,2013-06-01,24.0,9,517,8.97,42306.0,6.9
RABF18,Four Regrettings and a Funeral,2013-03-11,25.0,3,533,5.43,39301.0,6.5
SABF04,Yellow Subterfuge,2013-08-12,25.0,7,537,6.85,43717.0,7.0
PABF12,A Totally Fun Thing That Bart Will Never Do Again,2012-04-29,23.0,19,505,5.0,53058.0,7.4
NABF22,The Book Job,2011-11-20,23.0,6,492,5.77,42780.0,7.8
PABF06,The Daughter Also Rises,2012-12-02,23.0,13,499,4.26,40669.0,6.5
SABF05,Steal This Episode,2014-05-01,25.0,9,539,12.04,45354.0,7.6
PABF09,Exit Through the Kwik-E-Mart,2012-04-03,23.0,15,501,5.09,45133.0,6.9
RABF09,"Black Eyed, Please",2013-10-03,24.0,15,523,4.85,42925.0,7.0
PABF10,"Them, Robot",2012-03-18,23.0,17,503,5.25,43615.0,7.1
RABF16,Treehouse of Horror XXIV,2013-06-10,25.0,2,532,6.42,64758.0,7.1
RABF11,Pulpit Friction,2013-04-28,24.0,18,526,4.54,41184.0,6.5
RABF04,The Changing of the Guardian,2013-01-27,24.0,11,519,5.23,42215.0,6.6
PABF21,,2012-09-30,24.0,1,509,8.08,36570.0,6.4
PABF22,A Tree Grows in Springfield,2012-11-25,24.0,6,514,7.46,43211.0,6.5
,Treehouse of Horror XXIII,2012-07-10,24.0,2,510,6.57,67484.0,7.3
PABF20,The Day the Earth Stood Cool,2012-09-12,24.0,7,515,7.44,40649.0,7.2
RABF05,Hardly Kirk-ing,2013-02-17,24.0,13,521,4.57,42807.0,7.0
,The Fabulous Faker Boy,2013-12-05,24.0,20,528,4.16,42426.0,6.3
RABF19,Labor Pains,2013-11-17,25.0,5,535,4.08,40671.0,7.1
RABF17,Dangers on a Train,2013-05-19,24.0,22,530,4.52,44984.0,7.0
AABF10,"Marge Simpson in: ""Screaming Yellow Honkers""",1999-02-21,10.0,15,218,8.6,52778.0,7.3
SABF09,The Winter of His Content,2014-03-16,25.0,14,544,4.02,44271.0,6.6
SABF14,What to Expect When Bart's Expecting,2014-04-27,25.0,19,549,3.45,48760.0,5.8
TABF02,Covercraft,2014-11-23,26.0,8,560,3.45,38432.0,6.5
TABF06,Walking Big & Tall,2015-08-02,26.0,13,565,2.78,36221.0,6.3
TABF18,Treehouse of Horror XXVI,2015-10-25,27.0,5,579,6.75,195.0,6.8
VABF03,The Girl Code,2016-03-01,27.0,10,584,4.41,166.0,6.6
SABF15,Pay Pal,2014-11-05,25.0,21,551,3.66,51132.0,6.7
TABF14,Every Man's Dream,2015-09-27,27.0,1,575,3.28,187.0,5.9
TABF13,Let's Go Fly a Coot,2015-03-05,26.0,20,572,3.12,40783.0,6.2
TABF10,Waiting for Duffman,2015-03-15,26.0,17,569,3.59,37874.0,6.7
TABF20,Lisa with an 'S',2015-11-22,27.0,7,581,5.64,145.0,6.3
TABF05,Bart's New Friend,2015-11-01,26.0,11,563,4.28,39702.0,7.3
VABF07,Love Is in the N2-O2-Ar-CO2-Ne-He-CH4,2016-02-14,27.0,13,587,2.89,158.0,6.3
TABF12,The Kids Are All Fight,2015-04-26,26.0,19,571,3.33,42123.0,6.9
TABF09,Sky Police,2015-08-03,26.0,16,568,3.79,43023.0,6.9
SABF20,Clown in the Dumps,2014-09-28,26.0,1,553,8.53,29526.0,5.8
,Super Franchise Me,2014-12-10,26.0,3,555,7.33,42912.0,6.5
VABF05,Much Apu About Something,2016-01-17,27.0,12,586,3.95,170.0,6.7
TABF03,I Won't Be Home for Christmas,2014-07-12,26.0,9,561,6.52,37064.0,6.8
SABF21,Treehouse of Horror XXV,2014-10-19,26.0,4,556,7.76,65425.0,7.3
TABF07,My Fare Lady,2015-02-15,26.0,14,566,2.67,35846.0,6.7
VABF10,The Burns Cage,2016-03-04,27.0,17,591,2.32,190.0,6.5
TABF16,Mathlete's Feat,2015-05-17,26.0,22,574,2.82,47429.0,6.9
VABF08,Lisa the Veterinarian,2016-06-03,27.0,15,589,3.09,174.0,6.3
VABF01,Paths of Glory,2015-06-12,27.0,8,582,5.53,170.0,7.1
TABF19,,2015-11-10,27.0,3,577,3.31,160.0,7.2
7F18,Brush with Greatness,1991-11-04,2.0,18,31,20.6,58561.0,8.0
8F08,Flaming Moe's,1991-11-21,3.0,10,45,23.9,58968.0,8.8
7G05,Bart the General,1990-04-02,1.0,5,5,27.1,63129.0,8.1
8F23,"Brother, Can You Spare Two Dimes?",1992-08-27,3.0,24,59,17.2,50936.0,8.2
9F01,Homer the Heretic,1992-08-10,4.0,3,62,19.3,64605.0,9.0
9F22,Cape Feare,1993-07-10,5.0,2,83,20.0,65585.0,9.0
1F05,Bart's Inner Child,1993-11-11,5.0,7,88,18.7,74139.0,7.7
1F13,Deep Space Homer,1994-02-24,5.0,15,96,18.2,75439.0,8.8
1F18,Sweet Seymour Skinner's Baadasssss Song,1994-04-28,5.0,19,100,19.7,66406.0,8.4
1F19,The Boy Who Knew Too Much,1994-05-05,5.0,20,101,15.5,74427.0,8.2
2F03,Treehouse of Horror V,1994-10-30,6.0,6,109,22.2,119295.0,9.0
2F16,Who Shot Mr. Burns? (Part One),1995-05-21,6.0,25,128,15.0,86070.0,9.1
3F23,You Only Move Twice,1996-03-11,8.0,2,155,13.9,79609.0,9.2
3F24,El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer),1997-05-01,8.0,9,162,14.9,64743.0,8.5
4F19,Homer's Enemy,1997-04-05,8.0,23,176,11.8,74177.0,9.2
5F02,Treehouse of Horror VIII,1997-10-26,9.0,4,182,10.9,30963.0,8.1
5F04,The Two Mrs. Nahasapeemapetilons,1997-11-16,9.0,7,185,11.4,19419.0,7.7
AABF02,D'oh-in' in the Wind,1998-11-15,10.0,6,209,8.3,45779.0,7.6
CABF06,Skinner's Sense of Snow,2000-12-17,12.0,8,256,15.9,56755.0,8.0
BABF22,HOMR,2001-07-01,12.0,9,257,18.5,68784.0,8.0
,Trilogy of Error,2001-04-29,12.0,18,266,14.4,53728.0,8.6
DABF17,Poppa's Got a Brand New Badge,2002-05-22,13.0,22,291,8.2,53639.0,8.0
DABF19,Treehouse of Horror XIII,2002-03-11,14.0,1,292,16.7,71817.0,7.6
NABF18,Holidays of Future Passed,2011-11-12,23.0,9,495,6.43,69460.0,8.2
SABF16,Simpsorama,2014-09-11,26.0,6,558,6.7,48223.0,7.9
TABF22,Halloween of Horror,2015-10-18,27.0,4,578,3.69,196.0,7.5
VABF14,To Courier with Love,2016-08-05,27.0,20,594,2.52,192.0,6.7
7G03,Homer's Odyssey,1990-01-21,1.0,3,3,27.5,78072.0,7.5
BABF07,,1999-12-19,11.0,9,235,7.76,48070.0,7.3
BABF20,A Tale of Two Springfields,2000-05-11,12.0,2,250,16.2,40990.0,7.4
CABF04,Homer vs. Dignity,2000-11-26,12.0,5,253,15.0,44005.0,7.2
DABF09,The Old Man and the Key,2002-10-03,13.0,13,282,14.5,41049.0,6.5
EABF11,'Scuse Me While I Miss the Sky,2003-03-30,14.0,16,307,12.6,43756.0,7.1
FABF06,Margical History Tour,2004-08-02,15.0,11,324,8.9,42492.0,7.1
GABF07,Mobile Homer,2005-03-20,16.0,13,348,8.49,45489.0,7.0
GABF10,Don't Fear the Roofer,2005-01-05,16.0,16,351,11.92,41620.0,7.4
,The Seemingly Never-Ending Story,2006-12-03,17.0,13,369,9.72,48854.0,7.4
HABF08,"Homer Simpson, This Is Your Wife",2006-03-26,17.0,15,371,10.09,41323.0,6.5
HABF11,The Wettest Stories Ever Told,2006-04-23,17.0,18,374,7.04,42280.0,6.7
JABF21,Midnight Towboy,2007-07-10,19.0,3,403,7.7,35926.0,7.2
KABF19,Homer and Lisa Exchange Cross Words,2008-11-16,20.0,6,426,8.52,38879.0,7.1
LABF12,Coming to Homerica,2009-05-17,20.0,21,441,5.86,6477.0,7.2
LABF14,Treehouse of Horror XX,2009-10-18,21.0,4,445,8.59,66209.0,7.3
MABF08,American History X-cellent,2010-11-04,21.0,17,458,5.65,44645.0,6.7
MABF14,The Squirt and the Whale,2010-04-25,21.0,19,460,5.94,40632.0,6.9
MABF16,Treehouse of Horror XXI,2010-07-11,22.0,4,468,8.19,61954.0,7.1
PABF01,The Man in the Blue Flannel Pants,2011-11-27,23.0,7,493,5.61,41687.0,6.8
RABF10,Dark Knight Court,2013-03-17,24.0,16,524,4.89,44170.0,7.1
RABF14,The Saga of Carl,2013-05-19,24.0,21,529,4.01,42996.0,7.2
SABF11,You Don't Have to Live Like a Referee,2014-03-30,25.0,16,546,3.91,42080.0,6.9
TABF08,The Princess Guide,2015-01-03,26.0,15,567,3.93,34137.0,6.6
VABF11,How Lisa Got Her Marge Back,2016-10-04,27.0,18,592,2.55,188.0,6.4
VABF15,Orange Is the New Yellow,2016-05-22,27.0,22,596,2.54,276.0,6.9
VABF20,,2016-09-25,28.0,1,597,3.36,994.0,6.6
CABF12,New Kids on the Blecch,2001-02-25,12.0,14,262,18.1,50903.0,7.2
DABF03,Sweets and Sour Marge,2002-01-20,13.0,8,277,12.3,54348.0,7.0
DABF16,The Frying Game,2002-05-19,13.0,21,290,10.8,48954.0,7.1
EABF07,I'm Spelling As Fast As I Can,2003-02-16,14.0,12,303,22.1,42885.0,7.3
EABF08,A Star Is Born-Again,2003-02-03,14.0,13,304,14.4,42185.0,7.1
EABF22,The Regina Monologues,2003-11-23,15.0,4,317,12.2,43134.0,7.1
GABF09,"The Father, the Son, and the Holy Guest Star",2005-05-15,16.0,21,356,9.69,48303.0,7.2
GABF20,Marge's Son Poisoning,2005-11-13,17.0,5,361,11.4,39428.0,6.9
HABF10,"Kiss Kiss, Bang Bangalore",2006-09-04,17.0,17,373,8.2,47829.0,7.2
HABF18,Jazzy and the Pussycats,2006-09-17,18.0,2,380,8.94,33495.0,6.7
JABF20,He Loves to Fly and He D'ohs,2007-09-23,19.0,1,401,9.7,36253.0,6.7
JABF19,I Don't Wanna Know Why the Caged Bird Sings,2007-10-14,19.0,4,404,8.8,35850.0,6.9
KABF02,Eternal Moonshine of the Simpson Mind,2007-12-16,19.0,9,409,10.15,44862.0,8.2
KABF22,Lisa the Drama Queen,2009-01-25,20.0,9,429,5.75,38582.0,5.9
LABF02,How the Test Was Won,2009-01-03,20.0,11,431,6.52,41271.0,7.0
LABF11,In the Name of the Grandfather,2009-03-22,20.0,14,434,6.15,45727.0,6.3
LABF05,Wedding for Disaster,2009-03-29,20.0,15,435,6.58,43254.0,6.8
NABF15,The Ned-Liest Catch,2011-05-22,22.0,22,486,5.25,43681.0,7.0
PABF07,At Long Last Leave,2012-02-19,23.0,14,500,5.77,45226.0,7.0
PABF08,How I Wet Your Mother,2012-11-03,23.0,16,502,4.97,44818.0,7.3
PABF18,Adventures in Baby-Getting,2012-04-11,24.0,3,511,5.65,39687.0,6.9
SABF08,Diggs,2014-09-03,25.0,12,542,2.69,39292.0,6.4
SABF13,Days of Future Future,2014-04-13,25.0,18,548,3.64,55742.0,7.0
