Production code,Title,Air date,Season,Number in season,Number in series,US viewers (million),Views,IMDB rating
9F02,Lisa the Beauty Queen,1992-10-15,4.0,4,63,19.0,52203.0,7.8
9F19,Krusty Gets Kancelled,1993-05-13,4.0,22,81,19.4,59948.0,8.2
8F20,Black Widower,1992-09-04,3.0,21,56,17.3,57582.0,8.2
8F18,A Streetcar Named Marge,1992-01-10,4.0,2,61,18.3,54487.0,8.1
9F04,Treehouse of Horror III,1992-10-29,4.0,5,64,25.1,108171.0,8.4
9F07,Mr. Plow,1992-11-19,4.0,9,68,24.0,63564.0,8.8
1F10,Homer and Apu,1994-10-02,5.0,13,94,21.8,58716.0,8.3
,Homer Loves Flanders,1994-03-17,5.0,16,97,18.0,69996.0,8.5
1F16,Burns' Heir,1994-04-14,5.0,18,99,14.7,81678.0,8.4
3F08,Sideshow Bob's Last Gleaming,1995-11-26,7.0,9,137,14.2,61246.0,8.0
2F07,Grampa vs. Sexual Inadequacy,1994-04-12,6.0,10,113,14.1,64719.0,8.0
3F15,A Fish Called Selma,1996-03-24,7.0,19,147,12.9,57830.0,8.2
2F11,Bart's Comet,1995-05-02,6.0,14,117,18.7,67619.0,8.6
3F01,Home Sweet Homediddly-Dum-Doodily,1995-01-10,7.0,3,131,14.5,70120.0,8.3
3F11,Scenes from the Class Struggle in Springfield,1996-04-02,7.0,14,142,14.4,58572.0,7.7
2F13,Bart vs. Australia,1995-02-19,6.0,16,119,15.1,80724.0,8.5
3F05,King-Size Homer,1995-05-11,7.0,7,135,17.0,81426.0,9.0
1F20,Secrets of a Successful Marriage,1994-05-19,5.0,22,103,15.6,67959.0,8.0
1F17,Lisa's Rival,1994-11-09,6.0,2,105,16.7,54225.0,8.1
2F31,A Star Is Burns,1995-05-03,6.0,18,121,14.4,71936.0,8.5
2F15,Lisa's Wedding,1995-03-19,6.0,19,122,14.4,74266.0,8.3
2F33,Another Simpsons Clip Show,1994-09-25,6.0,3,106,13.5,42576.0,6.0
3F03,Lisa the Vegetarian,1995-10-15,7.0,5,133,14.6,69245.0,8.5
2F19,The PTA Disbands,1995-04-16,6.0,21,124,11.8,74788.0,8.1
2F02,Sideshow Bob Roberts,1994-09-10,6.0,5,108,14.4,76932.0,8.3
2F04,Bart's Girlfriend,1994-06-11,6.0,7,110,15.3,62450.0,8.0
2F20,,1995-09-17,7.0,1,129,16.0,67579.0,8.9
2F21,The Springfield Connection,1995-07-05,6.0,23,126,12.7,79777.0,8.2
3F14,Homer the Smithers,1996-02-25,7.0,17,145,14.1,68354.0,8.9
2F06,Homer Badman,1994-11-27,6.0,9,112,17.0,71577.0,9.0
2F09,Homer the Great,1995-08-01,6.0,12,115,20.1,71002.0,8.9
3F31,The Simpsons 138th Episode Spectacular,1995-03-12,7.0,10,138,16.4,56153.0,7.5
3F09,Two Bad Neighbors,1996-01-14,7.0,13,141,16.5,64224.0,8.7
3F13,Lisa the Iconoclast,1996-02-18,7.0,16,144,13.4,58795.0,8.1
3F06,Mother Simpson,1995-11-19,7.0,8,136,15.3,61085.0,8.5
3F19,"Raging Abe Simpson and His Grumbling Grandson in ""The Curse of the Flying Hellfish""",1996-04-28,7.0,22,150,13.0,69120.0,8.3
3F21,Homerpalooza,1996-05-19,7.0,24,152,12.9,60569.0,8.0
3G02,Lisa's Sax,1997-10-19,9.0,3,181,12.9,20008.0,8.1
3G03,Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,1997-07-02,8.0,13,166,17.7,57608.0,7.7
,Treehouse of Horror VII,1996-10-27,8.0,1,154,18.3,102077.0,8.3
4F14,Brother from Another Series,1997-02-23,8.0,16,169,15.1,56659.0,8.2
4F03,The Homer They Fall,1996-10-11,8.0,3,156,17.0,61146.0,8.0
4F06,Bart After Dark,1996-11-24,8.0,5,158,14.1,60210.0,8.2
5F17,Lost Our Lisa,1998-10-05,9.0,24,202,7.6,55316.0,7.7
5F15,Girly Edition,1998-04-19,9.0,21,199,8.5,21811.0,7.9
5F06,Realty Bites,1997-07-12,9.0,9,187,10.6,25183.0,7.5
4F17,The Old Man and the Lisa,1997-04-20,8.0,21,174,14.0,56833.0,7.9
4F04,A Milhouse Divided,1996-01-12,8.0,6,159,12.8,60956.0,8.0
4F13,"My Sister, My Sitter",1997-02-03,8.0,17,170,15.1,54247.0,8.1
5F10,The Last Temptation of Krust,1998-02-22,9.0,15,193,9.5,20298.0,7.5
5F01,The Cartridge Family,1997-02-11,9.0,5,183,10.3,30921.0,8.2
4F09,Grade School Confidential,1997-06-04,8.0,19,172,13.3,60584.0,8.2
4F07,Hurricane Neddy,1996-12-29,8.0,8,161,,66281.0,8.8
3G04,Simpson Tide,1998-03-29,9.0,19,197,9.0,23127.0,8.3
4F20,,1997-11-05,8.0,24,177,11.6,57926.0,7.3
